fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1,car,0.76,1,899,294,1106,442,0,,952,385,1006,407,
1,car,0.69,2,1183,317,1237,348,0,0,0,0,0,0,
1,car,0.64,3,1301,323,1354,360,0,0,0,0,0,0,
2,car,0.7,1,894,296,1104,445,0,,946,386,999,408,
2,car,0.69,2,1184,317,1237,348,0,0,0,0,0,0,
2,car,0.64,3,1301,323,1353,360,0,0,0,0,0,0,
3,car,0.65,1,887,294,1102,449,0,,935,387,994,411,
3,car,0.67,2,1184,318,1238,347,0,0,0,0,0,0,
3,car,0.66,3,1300,322,1353,360,0,0,0,0,0,0,
4,car,0.69,1,879,294,1097,452,0,,930,389,988,413,
4,car,0.66,2,1186,318,1238,348,0,0,0,0,0,0,
4,car,0.65,3,1300,322,1351,359,0,0,0,0,0,0,
5,car,0.73,1,871,294,1092,455,0,,922,391,981,415,
5,car,0.66,2,1188,318,1238,348,0,0,0,0,0,0,
5,car,0.64,3,1300,322,1350,359,0,0,0,0,0,0,
6,car,0.74,1,862,294,1090,458,0,,914,393,975,417,
6,car,0.65,2,1190,318,1239,348,0,0,0,0,0,0,
6,car,0.63,3,1299,322,1348,359,0,0,0,0,0,0,
7,car,0.83,1,852,294,1087,461,0,,907,395,968,419,
7,car,0.6,2,1193,318,1240,349,0,0,0,0,0,0,
7,car,0.64,3,1298,321,1348,359,0,0,0,0,0,0,
8,car,0.57,1,842,294,1085,463,0,,899,397,961,421,
8,car,0.6,2,1195,318,1240,348,0,0,0,0,0,0,
8,car,0.61,3,1297,321,1347,359,0,0,0,0,0,0,
9,car,0.71,1,831,293,1082,466,0,,890,398,954,424,
9,car,0.6,2,1194,318,1241,348,0,0,0,0,0,0,
9,car,0.58,3,1294,321,1347,358,0,0,0,0,0,0,
10,car,0.88,1,822,293,1076,469,0,,879,400,946,426,
10,car,0.62,2,1193,318,1241,348,0,0,0,0,0,0,
10,car,0.54,3,1291,322,1346,359,0,0,0,0,0,0,
11,car,0.88,1,811,293,1073,474,0,,870,401,938,429,
11,car,0.61,2,1192,319,1242,349,0,0,0,0,0,0,
11,car,0.6,3,1289,321,1345,359,0,0,0,0,0,0,
12,car,0.88,1,800,292,1069,477,0,,860,404,929,433,
12,car,0.63,2,1191,320,1243,350,0,0,0,0,0,0,
12,car,0.61,3,1288,322,1344,358,0,0,0,0,0,0,
13,car,0.87,1,789,292,1064,482,0,,850,406,920,435,
13,car,0.59,2,1194,320,1244,351,0,0,0,0,0,0,
13,car,0.65,3,1287,322,1344,358,0,0,0,0,0,0,
14,car,0.86,1,777,291,1061,486,0,,836,408,910,438,
14,car,0.61,2,1196,321,1245,351,0,0,0,0,0,0,
14,car,0.63,3,1287,322,1343,358,0,0,0,0,0,0,
15,car,0.88,1,763,291,1056,489,0,,825,411,900,442,
15,car,0.63,2,1197,321,1245,351,0,0,0,0,0,0,
15,car,0.61,3,1286,322,1343,358,0,0,0,0,0,0,
16,car,0.88,1,750,290,1051,495,0,,812,415,890,445,
16,car,0.64,2,1197,321,1245,351,0,0,0,0,0,0,
16,car,0.64,3,1286,321,1343,357,0,0,0,0,0,0,
17,car,0.91,1,736,290,1046,499,0,,798,417,878,450,
17,car,0.67,2,1196,321,1245,352,0,0,0,0,0,0,
17,car,0.65,3,1287,321,1342,357,0,0,0,0,0,0,
18,car,0.91,1,721,290,1042,505,0,,785,421,867,454,
18,car,0.68,2,1195,320,1245,352,0,0,0,0,0,0,
18,car,0.63,3,1287,321,1342,357,0,0,0,0,0,0,
19,car,0.9,1,705,289,1037,511,0,,770,425,854,458,
19,car,0.66,2,1195,321,1246,353,0,0,0,0,0,0,
19,car,0.64,3,1286,320,1342,357,0,0,0,0,0,0,
20,car,0.93,1,688,288,1029,516,0,,756,428,840,462,
20,car,0.71,2,1196,322,1247,353,0,0,0,0,0,0,
20,car,0.64,3,1286,320,1340,357,0,0,0,0,0,0,
21,car,0.93,1,668,287,1024,521,0,,738,431,825,465,
21,car,0.71,2,1197,322,1247,354,0,0,0,0,0,0,
21,car,0.63,3,1286,320,1340,356,0,0,0,0,0,0,
22,car,0.92,1,648,287,1019,528,0,,717,437,811,472,
22,car,0.71,2,1197,322,1248,354,0,0,0,0,0,0,
22,car,0.63,3,1285,320,1340,356,0,0,0,0,0,0,
23,car,0.94,1,629,286,1012,534,0,,696,439,793,477,
23,car,0.71,2,1196,322,1248,354,0,0,0,0,0,0,
23,car,0.64,3,1284,319,1340,356,0,0,0,0,0,0,
24,car,0.92,1,606,285,1005,540,0,,675,443,776,483,
24,car,0.7,2,1195,321,1249,354,0,0,0,0,0,0,
24,car,0.6,3,1283,319,1337,356,0,0,0,0,0,0,
25,car,0.88,1,583,284,1000,548,0,,652,448,757,488,
25,car,0.7,2,1196,321,1249,354,0,0,0,0,0,0,
25,car,0.58,3,1282,319,1335,356,0,0,0,0,0,0,
26,car,0.92,1,557,284,994,558,0,,628,453,737,493,
26,car,0.67,2,1196,320,1249,354,0,0,0,0,0,0,
26,car,0.61,3,1281,319,1333,355,0,0,0,0,0,0,
27,car,0.92,1,528,284,983,565,0,,601,458,716,500,
27,car,0.64,2,1194,319,1250,355,0,0,0,0,0,0,
27,car,0.63,3,1281,319,1331,355,0,0,0,0,0,0,
28,car,0.92,1,500,283,974,575,0,,572,463,690,509,
28,car,0.62,2,1195,319,1250,355,0,0,0,0,0,0,
28,car,0.63,3,1281,319,1332,355,0,0,0,0,0,0,
29,car,0.88,1,468,282,965,587,0,,541,470,663,515,
29,car,0.62,2,1196,319,1251,355,0,0,0,0,0,0,
29,car,0.65,3,1282,319,1335,355,0,0,0,0,0,0,
30,car,0.93,1,431,280,955,599,0,,505,477,636,526,
30,car,0.55,2,1198,320,1251,355,0,0,0,0,0,0,
30,car,0.62,3,1282,320,1335,355,0,0,0,0,0,0,
31,car,0.93,1,395,279,945,612,0,,470,485,603,535,
31,car,0.57,2,1198,320,1252,355,0,0,0,0,0,0,
31,car,0.63,3,1282,319,1331,355,0,0,0,0,0,0,
32,car,0.93,1,351,278,934,623,0,,424,493,569,549,
32,car,0.62,2,1200,321,1251,356,0,0,0,0,0,0,
